Date,Description,Amount,Category
2024-01-02,Morning Coffee,-5.50,Food & Drink
2024-01-03,Grocery Store,-67.23,Groceries
2024-01-04,Netflix Subscription,-15.99,Entertainment
2024-01-05,Gas Station,-48.00,Transportation
2024-01-06,Lunch with Friends,-32.50,Food & Drink
2024-01-07,Uber Ride,-18.75,Transportation
2024-01-08,Grocery Store,-54.80,Groceries
2024-01-09,Spotify,-9.99,Entertainment
2024-01-10,Coffee Shop,-6.25,Food & Drink
2024-01-11,Amazon Basics,-29.99,Shopping
2024-01-12,Late Night Shopping Spree,-487.99,Shopping
2024-01-13,Brunch,-45.00,Food & Drink
2024-01-14,Gas Station,-52.00,Transportation
2024-01-15,Grocery Store,-71.45,Groceries
2024-01-16,Gym Membership,-49.99,Health
2024-01-17,Coffee Shop,-5.75,Food & Drink
2024-01-18,Impulse Electronics Purchase,-899.99,Shopping
2024-01-19,Weekend Nightclub,-342.50,Entertainment
2024-01-20,Hangover Brunch,-78.00,Food & Drink
2024-01-21,Grocery Store,-62.30,Groceries
2024-01-22,Uber Rides,-41.25,Transportation
2024-01-23,Therapy Session,-150.00,Health
2024-01-24,Coffee Shop,-5.50,Food & Drink
2024-01-25,Retail Therapy Spree,-1250.00,Shopping
2024-01-26,Fancy Dinner Date,-185.00,Food & Drink
2024-01-27,Grocery Store,-58.90,Groceries
2024-01-28,Movie Theater,-24.00,Entertainment
2024-01-29,Gas Station,-45.00,Transportation
2024-01-30,End of Month Panic Buy,-567.89,Shopping
